Категория,Название характеристики,Значение
О квартире,Количество комнат,2
О квартире,Кровати,1 двуспальная
О квартире,Общая площадь,"42 м²"
О квартире,Этаж,"3 из 4"
О квартире,Балкон или лоджия,балкон
О квартире,Техника,"холодильник, плита, микроволновка, стиральная машина, телевизор, фен, утюг"
О квартире,Интернет и ТВ,"Wi-Fi, телевидение"
О квартире,Комфорт,"постельное белье, полотенца, средства гигиены"
О квартире,Залог,"0 ₽"
О квартире,Возможна помесячная аренда,Нет
О доме,Этажей в доме,4
О доме,Лифт,Нет
О доме,Парковка,"на улице, бесплатно для гостей"
Правила,Заезд после,"14:00"
Правила,Выезд до,"12:00"
Правила,Количество гостей,2
Правила,Бесконтактное заселение,нет
Правила,Можно с детьми,да
Правила,Можно с животными,да
Правила,Можно курить,да
Правила,Разрешены вечеринки,нет
Правила,Есть отчётные документы,нет
Расположение,Адрес,"[CITY], [STREET], [BUILDING_NUMBER]"
Описание,Тип квартиры,"Светлaя, чиcтaя, уютная квартира со cвежим pемонтoм в цeнтрe горoдa."
Описание,Что имеется,"Двуcпальная кpoвaть, Дивaн, Wi-Fi, ТB, Бытoвая теxникa, Чиcтoе пoстельнoе бeльe, кoмплeкт пoлотенeц, Cрeдcтва для гигиeны, Чиcтая пoсудa"
Описание,В пешей доступности,"Центральный рынок, Центральный парк культуры и отдыха, Площадь Оболенского-Ноготкова, Вкусно и точка, Бургер Кинг"
Описание,Условия стоимости,"Стоимость указана за 2х человек и 1 комплект постельного белья."
Описание,Максимальная вместимость,"3 человека"
Описание,Почасовая аренда,Возможна
Описание,Цена в праздники,Может меняться
Описание,Время заселения,"с 14:00"
Описание,Время выезда,"в 12:00"
Описание,Документы при заселении,"Документ удостоверяющий личность"
Описание,Ограничение по возрасту,Не сдается лицам младше 18 лет
Описание,Запрещено,"Устраивать шумные вечеринки, Шуметь после 22:00, Приводить третьи лица"
Описание,Курение,"ТОЛЬКО на балконе"
Дополнительно,Уборка,"Каждый день делается уборка - все чисто."
Дополнительно,Постельное белье,"Постельное каждый день новое."
Дополнительно,Вода,"Газовая колонка включена и ее трогать не надо - вода из под крана и душа будет теплой."
